dong_cd,sgg_cd,sgg_nm,emd_nm,pop_0,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_0_6,pop_0_2,pop_3_6,capacity,enrolled,fac_cnt,cc_capacity,cc_enrolled,cc_cnt,kg_capacity,kg_enrolled,kg_cnt,public_capacity,public_cnt,private_capacity,private_cnt,coverage,fill,usage,public_share,infant_ratio,quadrant,in_all,in_child,in_child_hh,in_child_gp,in_child_0_2,in_child_gpcare,in_child_reason_가족,in_child_reason_교육,in_child_reason_기타,in_child_reason_자연환경,in_child_reason_주거환경,in_child_reason_주택,in_child_reason_직업,out_all,out_child,out_child_hh,out_child_gp,out_child_0_2,out_child_gpcare,out_child_reason_가족,out_child_reason_교육,out_child_reason_기타,out_child_reason_자연환경,out_child_reason_주거환경,out_child_reason_주택,out_child_reason_직업,net_all,net_child,net_child_hh,in_rate,out_rate,net_rate,turnover_rate,churn_ratio,in_share_직업,in_share_가족,in_share_주택,in_share_교육,in_share_주거환경,in_share_자연환경,in_share_기타,gpcare_share_in,headless_share_in,small_denom,analysis_ok
2717056500,27170,서구,비산2.3동,5,5,4,7,5,9,12,47,14,33,156.0,89.0,2.0,138.0,83.0,1.0,18.0,6.0,1.0,18.0,1.0,138.0,1.0,3.3191489361702127,0.5705128205128205,1.893617021276596,0.1153846153846153,0.4242424242424242,질적미스매치,1759,41.0,25.0,0.0,8.0,9.0,9.0,4.0,7.0,0.0,1.0,15.0,5.0,2291,58.0,43.0,0.0,15.0,5.0,15.0,1.0,5.0,0.0,6.0,27.0,4.0,-532,-17.0,-18.0,0.8723404255319149,1.2340425531914894,-0.3617021276595745,2.106382978723404,1.4146341463414633,0.12195121951219512,0.21951219512195122,0.3658536585365853,0.0975609756097561,0.024390243902439025,0.0,0.17073170731707318,0.21951219512195122,0.3902439024390244,True,False
2717058000,27170,서구,비산4동,6,4,11,8,11,9,14,63,21,42,153.0,97.0,3.0,73.0,49.0,2.0,80.0,48.0,1.0,54.0,1.0,99.0,2.0,2.4285714285714284,0.6339869281045751,1.5396825396825398,0.3529411764705882,0.5,질적미스매치,1523,50.0,29.0,0.0,9.0,11.0,19.0,6.0,7.0,0.0,2.0,13.0,3.0,2150,73.0,52.0,0.0,25.0,12.0,23.0,6.0,5.0,0.0,3.0,32.0,4.0,-627,-23.0,-23.0,0.7936507936507936,1.1587301587301588,-0.365079365079365,1.9523809523809523,1.46,0.06,0.38,0.26,0.12,0.04,0.0,0.14,0.22,0.42000000000000004,True,False
2717059000,27170,서구,비산5동,6,7,5,4,3,8,9,42,18,24,234.0,201.0,3.0,138.0,107.0,2.0,96.0,94.0,1.0,154.0,2.0,80.0,1.0,5.571428571428571,0.8589743589743589,4.785714285714286,0.6581196581196581,0.75,양호,1223,46.0,36.0,0.0,12.0,4.0,11.0,4.0,5.0,0.0,1.0,21.0,4.0,1741,63.0,52.0,0.0,21.0,3.0,17.0,3.0,5.0,0.0,2.0,30.0,6.0,-518,-17.0,-16.0,1.0952380952380951,1.5,-0.4047619047619047,2.595238095238096,1.3695652173913044,0.08695652173913043,0.2391304347826087,0.4565217391304347,0.08695652173913043,0.021739130434782608,0.0,0.10869565217391304,0.08695652173913043,0.21739130434782605,True,False
2717060000,27170,서구,비산6동,4,10,3,8,6,15,12,58,17,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.4146341463414634,판정불가,1327,29.0,13.0,0.0,12.0,12.0,10.0,1.0,7.0,0.0,0.0,9.0,2.0,1770,49.0,35.0,0.0,23.0,6.0,17.0,2.0,2.0,0.0,1.0,21.0,6.0,-443,-20.0,-22.0,0.5,0.8448275862068966,-0.3448275862068966,1.3448275862068966,1.6896551724137931,0.06896551724137931,0.3448275862068966,0.3103448275862069,0.034482758620689655,0.0,0.0,0.2413793103448276,0.41379310344827586,0.5517241379310345,True,False
2717061000,27170,서구,비산7동,30,39,22,19,35,24,23,192,91,101,186.0,130.0,2.0,186.0,130.0,2.0,0.0,0.0,0.0,65.0,1.0,121.0,1.0,0.96875,0.6989247311827957,0.6770833333333334,0.3494623655913978,0.900990099009901,물리적부족,2514,120.0,91.0,0.0,55.0,13.0,32.0,4.0,6.0,0.0,1.0,64.0,13.0,3011,137.0,108.0,0.0,56.0,10.0,30.0,11.0,5.0,2.0,6.0,72.0,11.0,-497,-17.0,-17.0,0.625,0.7135416666666666,-0.0885416666666666,1.3385416666666667,1.1416666666666666,0.10833333333333334,0.26666666666666666,0.5333333333333333,0.03333333333333333,0.008333333333333333,0.0,0.05,0.10833333333333334,0.2416666666666667,False,True
2717062000,27170,서구,평리1동,4,8,7,8,15,11,18,71,19,52,120.0,119.0,1.0,120.0,119.0,1.0,0.0,0.0,0.0,120.0,1.0,0.0,0.0,1.6901408450704225,0.9916666666666668,1.676056338028169,1.0,0.3653846153846153,양호,1358,30.0,18.0,0.0,14.0,9.0,9.0,3.0,3.0,0.0,1.0,11.0,3.0,2046,73.0,65.0,1.0,33.0,6.0,12.0,3.0,6.0,1.0,5.0,39.0,7.0,-688,-43.0,-47.0,0.4225352112676056,1.028169014084507,-0.6056338028169014,1.4507042253521127,2.433333333333333,0.1,0.3,0.3666666666666666,0.1,0.03333333333333333,0.0,0.1,0.3,0.4,True,False
2717063000,27170,서구,평리2동,15,14,8,16,19,25,30,127,37,90,65.0,54.0,2.0,65.0,54.0,2.0,0.0,0.0,0.0,45.0,1.0,20.0,1.0,0.5118110236220472,0.8307692307692308,0.4251968503937008,0.6923076923076923,0.4111111111111111,물리적부족,1602,72.0,37.0,0.0,31.0,26.0,36.0,4.0,5.0,0.0,1.0,24.0,2.0,1990,98.0,78.0,0.0,34.0,7.0,31.0,10.0,7.0,0.0,6.0,38.0,6.0,-388,-26.0,-41.0,0.5669291338582677,0.7716535433070866,-0.2047244094488189,1.3385826771653544,1.3611111111111112,0.027777777777777776,0.5,0.3333333333333333,0.05555555555555555,0.013888888888888888,0.0,0.06944444444444445,0.3611111111111111,0.48611111111111116,False,True
2717064000,27170,서구,평리3동,87,77,70,69,63,64,68,498,234,264,419.0,320.0,6.0,271.0,200.0,4.0,148.0,120.0,2.0,112.0,2.0,307.0,4.0,0.8413654618473896,0.7637231503579952,0.642570281124498,0.2673031026252983,0.8863636363636364,물리적부족,4503,463.0,389.0,0.0,214.0,25.0,95.0,19.0,25.0,0.0,18.0,283.0,23.0,3409,186.0,116.0,0.0,78.0,38.0,56.0,9.0,23.0,1.0,6.0,77.0,14.0,1094,277.0,273.0,0.929718875502008,0.37349397590361444,0.5562248995983936,1.3032128514056225,0.4017278617710583,0.04967602591792657,0.20518358531317496,0.6112311015118791,0.04103671706263499,0.038876889848812095,0.0,0.05399568034557235,0.05399568034557235,0.15982721382289422,False,True
2717065000,27170,서구,평리4동,32,36,26,34,50,36,54,268,94,174,258.0,159.0,6.0,258.0,159.0,6.0,0.0,0.0,0.0,49.0,1.0,209.0,5.0,0.9626865671641792,0.6162790697674418,0.5932835820895522,0.189922480620155,0.5402298850574713,이중취약,4283,174.0,121.0,0.0,73.0,23.0,53.0,10.0,34.0,1.0,8.0,46.0,22.0,5168,274.0,228.0,0.0,107.0,22.0,53.0,29.0,21.0,0.0,20.0,134.0,17.0,-885,-100.0,-107.0,0.6492537313432836,1.0223880597014925,-0.373134328358209,1.671641791044776,1.5747126436781609,0.12643678160919541,0.3045977011494253,0.264367816091954,0.05747126436781609,0.04597701149425287,0.005747126436781609,0.19540229885057472,0.13218390804597702,0.3045977011494253,False,True
2717066000,27170,서구,평리5동,214,211,164,167,163,138,131,1188,589,599,288.0,241.0,6.0,228.0,215.0,5.0,60.0,26.0,1.0,252.0,5.0,36.0,1.0,0.2424242424242424,0.8368055555555556,0.2028619528619528,0.875,0.98330550918197,물리적부족,5638,876.0,769.0,1.0,501.0,30.0,111.0,13.0,14.0,0.0,6.0,719.0,13.0,1638,121.0,74.0,0.0,58.0,24.0,40.0,14.0,2.0,0.0,2.0,52.0,11.0,4000,755.0,695.0,0.7373737373737373,0.10185185185185185,0.6355218855218855,0.8392255892255892,0.13812785388127855,0.014840182648401826,0.1267123287671233,0.8207762557077626,0.014840182648401826,0.00684931506849315,0.0,0.01598173515981735,0.03424657534246575,0.1221461187214612,False,True
