시군구명,읍면동명,lat,lng
중구,동인동,35.8678902715489,128.609144033992
중구,삼덕동,35.8655243144641,128.608976627949
중구,성내1동,35.8666446420244,128.595789411129
중구,성내2동,35.8683709890346,128.590372564871
중구,성내3동,35.8725850026911,128.585718061237
중구,대신동,35.8656000853423,128.576350209281
중구,남산1동,35.8593406275678,128.590440088879
중구,남산2동,35.8640456753962,128.589542181569
중구,남산3동,35.8599098628603,128.585554074278
중구,남산4동,35.8582317998805,128.580503806662
중구,대봉1동,35.8616315715938,128.604381268093
중구,대봉2동,35.8587715630281,128.599364322671
동구,신암1동,35.884298713376,128.616354775617
동구,신암2동,35.8799718431662,128.612705831039
동구,신암3동,35.8796114790259,128.623133473086
동구,신암4동,35.8850751306222,128.629317682417
동구,신암5동,35.8897530431734,128.633090148054
동구,신천1.2동,35.8719700892444,128.626843791513
동구,신천3동,35.8753979272728,128.623654250842
동구,신천4동,35.871749274652,128.62930603461
동구,효목1동,35.8816540448418,128.644944665344
동구,효목2동,35.8781433836394,128.641244714245
동구,도평동,35.9099722181074,128.650125475338
동구,불로.봉무동,35.9102575293579,128.639298129545
동구,지저동,35.8933913953703,128.638281363236
동구,동촌동,35.8899378122845,128.649634273821
동구,방촌동,35.8771420800695,128.667616062007
동구,해안동,35.8820751749657,128.671612757342
동구,안심1동,35.8704112725447,128.701618989961
동구,안심2동,35.8754181631545,128.68704015784
동구,안심3동,35.867867452798,128.724547847892
동구,안심4동,35.8701366377535,128.711054688741
동구,혁신동,35.8779841529114,128.711524651593
동구,공산동,35.9401940667373,128.64422906022
서구,내당1동,35.8606499369368,128.560696349353
서구,내당2.3동,35.8606854560362,128.560736898516
서구,내당4동,35.8589853964824,128.551732460734
서구,비산1동,35.8811710278803,128.568982930677
서구,비산2.3동,35.8872751502313,128.548031933402
서구,비산4동,35.8697544253751,128.57428464779
서구,비산5동,35.8863064909338,128.569615789237
서구,비산6동,35.8762708872266,128.569098868222
서구,비산7동,35.8882092414119,128.559137452069
서구,평리1동,35.8755828424603,128.563261285741
서구,평리2동,35.8712050832285,128.563675708321
서구,평리3동,35.876781241825,128.560915333886
서구,평리4동,35.8673363043504,128.556819725895
서구,평리5동,35.8743202348999,128.550547843747
서구,평리6동,35.8751932016128,128.548261832499
서구,상중이동,35.8669731583545,128.546144518807
서구,원대동,35.8853905587667,128.573500055157
남구,이천동,35.8528498519636,128.597151096105
남구,봉덕1동,35.8452828044063,128.596414939028
남구,봉덕2동,35.8443761350651,128.601974969451
남구,봉덕3동,35.8425204530171,128.595965563919
남구,대명1동,35.8416698355898,128.573552298676
남구,대명2동,35.8553024062319,128.586706508004
남구,대명3동,35.8523495688795,128.579098600695
남구,대명4동,35.8459830414578,128.569533451774
남구,대명5동,35.843212204607,128.587829158798
남구,대명6동,35.8351638902285,128.566075546663
남구,대명9동,35.8372738461703,128.57919812686
남구,대명10동,35.839981556282,128.568968072927
남구,대명11동,35.8377529169751,128.559353433728
북구,고성동,35.8818726325769,128.583635441335
북구,칠성동,35.8792060739478,128.599890261437
북구,침산1동,35.8903324534825,128.58118153171
북구,침산2동,35.8872682362554,128.597004935722
북구,침산3동,35.8920685184307,128.589473227504
북구,산격1동,35.9003830618516,128.596896272502
북구,산격2동,35.9017174521904,128.609261575564
북구,산격3동,35.8934866469649,128.608306428817
북구,산격4동,35.892230684888,128.604382790906
북구,대현동,35.8821476943228,128.605809327276
북구,복현1동,35.8937525421896,128.618562566005
북구,복현2동,35.8954181031354,128.625480657042
북구,검단동,35.9137608202922,128.629790623083
북구,무태조야동,35.9213407929799,128.59710043336
북구,관문동,35.9016897652016,128.542158858612
북구,태전1동,35.9240817399256,128.543253903357
북구,태전2동,35.9214800100635,128.548791440697
북구,구암동,35.9388896858903,128.566040878409
북구,관음동,35.944243940444,128.547307377997
북구,읍내동,35.9458237101978,128.550583020598
북구,동천동,35.9372475613782,128.558167651793
북구,노원동,35.8901526171393,128.576216680589
북구,국우동,35.9515770698681,128.579289275607
수성구,범어1동,35.8555581306042,128.622076163639
수성구,범어2동,35.8622885566482,128.631073997717
수성구,범어3동,35.863240024723,128.624167828783
수성구,범어4동,35.8580767172929,128.64125595278
수성구,만촌1동,35.8663118866995,128.640026427278
수성구,만촌2동,35.8648790234469,128.643326948464
수성구,만촌3동,35.855501152724,128.650602929716
수성구,수성1가동,35.8552512717563,128.610323117646
수성구,수성2.3가동,35.8547200024121,128.619008396593
수성구,수성4가동,35.8626635443769,128.616668063624
수성구,황금1동,35.843934531046,128.638197533695
수성구,황금2동,35.8472129007332,128.623725777494
수성구,중동,35.8473943465578,128.615078532263
수성구,상동,35.8321136243906,128.615414999436
수성구,파동,35.8133790825309,128.617402945559
수성구,두산동,35.829426086156,128.6206587993
수성구,지산1동,35.8248829872972,128.63697817647
수성구,지산2동,35.8231195634012,128.628014834644
수성구,범물1동,35.8177997100035,128.645971661807
수성구,범물2동,35.8175281038879,128.643430172542
수성구,고산1동,35.8370965341278,128.712398706332
수성구,고산2동,35.8434288781047,128.695172075418
수성구,고산3동,35.8441106106139,128.70659511925
달서구,성당동,35.8429586241896,128.549551926913
달서구,두류1.2동,35.8537184722863,128.555402199963
달서구,두류3동,35.8536995367807,128.555472673151
달서구,감삼동,35.8510162146676,128.542168596711
달서구,죽전동,35.8575671590001,128.538970127094
달서구,장기동,35.8433493267252,128.530035888982
달서구,용산1동,35.8566425307374,128.531216760299
달서구,용산2동,35.8584051502186,128.522996918751
달서구,이곡1동,35.8516436462673,128.510660669925
달서구,이곡2동,35.8558154691673,128.5007816045
달서구,신당동,35.8589615482178,128.498821737463
달서구,본리동,35.8409762939101,128.543094223454
달서구,월성1동,35.8195095136039,128.522846536405
달서구,월성2동,35.8309608940895,128.52828413591
달서구,진천동,35.8122174631828,128.52283559965
달서구,유천동,35.8140262284257,128.514337755002
달서구,상인1동,35.8142592015533,128.545028726667
달서구,상인2동,35.8124434965345,128.536231231256
달서구,상인3동,35.8100371052476,128.550151042152
달서구,도원동,35.8074811635162,128.532179565126
달서구,송현1동,35.8292185848247,128.554795495277
달서구,송현2동,35.8327870589976,128.545582681668
달서구,본동,35.834423923528,128.541063858299
달성군,화원읍,35.7978288311981,128.489663846137
달성군,유가읍,35.6820085155635,128.485391163306
달성군,옥포읍,35.7896007557194,128.463726101613
달성군,현풍읍,35.6974640247084,128.447655933061
달성군,가창면,35.8027049070588,128.622823693028
달성군,하빈면,35.9009239874899,128.445522157
달성군,구지면,35.6587967490838,128.41359613327
군위군,군위읍,36.2398089970227,128.568752594251
군위군,소보면,36.2549801744472,128.475262006979
군위군,효령면,36.1568971001899,128.585428801378
군위군,부계면,36.1009043121551,128.664200821459
군위군,우보면,36.1950191636,128.661801779469
군위군,의흥면,36.1758227002044,128.715175557015
군위군,산성면,36.1230808004901,128.694883701639
군위군,삼국유사면,36.1235085738599,128.794662177619
달성군,다사읍(전체),35.8722148474928,128.494266152885
달성군,논공읍(전체),35.7743375840323,128.419911564146
