시도명,시군구명,읍면동명,영아인구_0_2세,유아인구_3_6세,영유아인구_0_6세,유치원수,정원_합계,원아수_합계,충원율_동단위,커버율,미스매치_유형,체육시설수,유아특화_체육시설수,유아가능_체육시설수,경제활동인구_천명,취업자_천명,경제활동참가율,고용률,실업률,출생아수_2023,합계출산율_2023,출생아수_2024,합계출산율_2024,출생아수_2025,합계출산율_2025,신혼부부수_2023,신혼부부수_2024,영유아인구_0_5세_2022,영유아인구_0_5세_2023,영유아인구_0_5세_2024,영유아인구_0_5세_2025,어린이집수,어린이집정원,어린이집현원,통합_정원,통합_현원,통합_커버율,통합_충원율,실거래건수,최근실거래건수,평균제곱미터당가격_만원,최근평균제곱미터당가격_만원,학원수,학원정원합계,전체_정원,전체_커버율,전체_충원율
대구광역시,동구,신암3동,428,403,831,3,293,263,0.897610922,0.352587244,물리적부족,2,0,2,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,7,372,290,665,553,0.800240674,0.831578947,2420,1420,542.7020714,579.8186491,7,164,829,0.9975932611311673,0.831578947
대구광역시,동구,신암4동,554,408,962,1,18,10,0.555555556,0.018711019,물리적부족,4,1,3,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,6,384,293,402,303,0.417879418,0.753731343,2420,1420,542.7020714,579.8186491,7,164,566,0.5883575883575883,0.753731343
대구광역시,동구,신암5동,117,132,249,1,18,3,0.166666667,0.072289157,질적미스매치,2,0,2,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,5,369,257,387,260,1.554216867,0.671834625,2420,1420,542.7020714,579.8186491,7,164,551,2.21285140562249,0.671834625
대구광역시,동구,신천1.2동,70,106,176,0,0,0,,0.0,질적미스매치,3,0,2,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,4,183,42,183,42,1.039772727,0.229508197,2255,1289,469.2944117,490.9796175,7,469,652,3.7045454545454546,0.229508197
대구광역시,동구,신천3동,364,387,751,1,104,83,0.798076923,0.138482024,물리적부족,4,0,3,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,7,428,298,532,381,0.708388815,0.716165414,2255,1289,469.2944117,490.9796175,7,469,1001,1.33288948069241,0.716165414
대구광역시,동구,신천4동,341,328,669,1,40,23,0.575,0.059790732,물리적부족,2,0,2,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,2,97,97,137,120,0.204783259,0.875912409,2255,1289,469.2944117,490.9796175,7,469,606,0.905829596412556,0.875912409
대구광역시,동구,효목1동,44,78,122,2,114,92,0.807017544,0.93442623,양호,3,0,0,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,3,198,130,312,222,2.557377049,0.711538462,650,353,308.2981096,329.4563171,2,80,392,3.2131147540983607,0.711538462
대구광역시,동구,효목2동,231,246,477,0,0,0,,0.0,이중취약,5,0,3,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,5,293,114,293,114,0.614255765,0.389078498,650,353,308.2981096,329.4563171,2,80,373,0.7819706498951782,0.389078498
대구광역시,동구,도평동,20,28,48,0,0,0,,0.0,이중취약,0,0,0,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,1,86,45,86,45,1.791666667,0.523255814,181,92,307.3250293,307.4762374,0,0,86,1.7916666666666667,0.523255814
대구광역시,동구,불로.봉무동,238,436,674,6,728,599,0.822802198,1.080118694,양호,8,1,5,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,6,240,122,968,721,1.43620178,0.744834711,907,450,367.5860091,365.2203167,13,2863,3831,5.683976261127596,0.744834711
대구광역시,동구,지저동,65,129,194,1,48,34,0.708333333,0.24742268,이중취약,2,1,2,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,2,169,39,217,73,1.118556701,0.33640553,155,72,235.7351707,232.7144799,0,0,217,1.1185567010309279,0.33640553
대구광역시,동구,동촌동,91,170,261,1,122,66,0.540983607,0.46743295,이중취약,3,0,2,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,5,194,103,316,169,1.210727969,0.534810127,82,38,201.9531704,199.1647132,0,0,316,1.210727969348659,0.534810127
대구광역시,동구,방촌동,117,156,273,4,228,229,1.004385965,0.835164835,이중취약,7,1,7,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,4,211,82,439,311,1.608058608,0.708428246,637,302,299.3314615,291.1014548,1,24,463,1.695970695970696,0.708428246
대구광역시,동구,해안동,98,146,244,2,70,27,0.385714286,0.286885246,이중취약,4,0,3,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,3,218,90,288,117,1.180327869,0.40625,45,21,149.6714032,124.3871096,0,0,288,1.180327868852459,0.40625
대구광역시,동구,안심1동,349,676,1025,5,341,323,0.947214076,0.332682927,질적미스매치,17,2,12,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,19,1071,501,1412,824,1.377560976,0.583569405,2746,1381,322.4148964,315.9864247,36,2915,4327,4.2214634146341465,0.583569405
대구광역시,동구,안심2동,433,451,884,2,463,248,0.535637149,0.523755656,질적미스매치,1,0,1,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,5,225,181,688,429,0.778280543,0.623546512,2746,1381,322.4148964,315.9864247,36,2915,3603,4.07579185520362,0.623546512
대구광역시,동구,안심3동,338,479,817,5,396,315,0.795454545,0.484700122,질적미스매치,12,1,9,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,9,285,154,681,469,0.833537332,0.688693098,2746,1381,322.4148964,315.9864247,36,2915,3596,4.401468788249694,0.688693098
대구광역시,동구,안심4동,295,520,815,4,536,445,0.830223881,0.657668712,질적미스매치,9,0,7,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,15,878,342,1414,787,1.734969325,0.556577086,2746,1381,322.4148964,315.9864247,36,2915,4329,5.311656441717791,0.556577086
대구광역시,동구,혁신동,268,587,855,3,487,378,0.776180698,0.569590643,질적미스매치,10,0,9,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,14,707,357,1194,735,1.396491228,0.615577889,615,302,313.6916947,303.4868348,10,861,2055,2.4035087719298245,0.615577889
대구광역시,동구,공산동,248,373,621,5,440,228,0.518181818,0.708534622,이중취약,3,0,2,169.8,164.5,57.3,55.4,3.2,1472,0.727,1668,0.806,1700,0.85,6699,6894,11779.0,11444,10768,10207,5,214,165,654,393,1.053140097,0.600917431,464,205,314.3513112,305.9422138,4,166,820,1.320450885668277,0.600917431
대구광역시,서구,내당1동,358,373,731,1,178,171,0.960674157,0.243502052,물리적부족,5,1,3,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,4,180,147,358,318,0.489740082,0.888268156,942,654,507.2767192,550.0040771,0,0,358,0.4897400820793434,0.888268156
대구광역시,서구,내당2.3동,35,54,89,2,138,125,0.905797101,1.550561798,양호,1,0,0,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,1,47,44,185,169,2.078651685,0.913513514,942,654,507.2767192,550.0040771,0,0,185,2.0786516853932584,0.913513514
대구광역시,서구,내당4동,52,94,146,1,124,103,0.830645161,0.849315068,물리적부족,4,0,2,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,1,62,32,186,135,1.273972603,0.725806452,942,654,507.2767192,550.0040771,0,0,186,1.273972602739726,0.725806452
대구광역시,서구,비산1동,28,49,77,1,18,3,0.166666667,0.233766234,이중취약,2,0,2,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,2,123,57,141,60,1.831168831,0.425531915,477,220,189.4026545,179.620702,0,0,141,1.8311688311688312,0.425531915
대구광역시,서구,비산2.3동,14,33,47,1,18,6,0.333333333,0.382978723,질적미스매치,2,0,1,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,2,227,149,245,155,5.212765957,0.632653061,477,220,189.4026545,179.620702,0,0,245,5.212765957446808,0.632653061
대구광역시,서구,비산4동,21,42,63,2,80,58,0.725,1.26984127,질적미스매치,1,0,1,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,2,73,49,153,107,2.428571429,0.699346405,477,220,189.4026545,179.620702,0,0,153,2.4285714285714284,0.699346405
대구광역시,서구,비산5동,18,24,42,1,96,94,0.979166667,2.285714286,양호,3,0,3,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,2,138,107,234,201,5.571428571,0.858974359,477,220,189.4026545,179.620702,0,0,234,5.571428571428571,0.858974359
대구광역시,서구,비산6동,17,41,58,0,0,0,,0.0,완전공백,1,0,1,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,0,0,0,0,0,0.0,,477,220,189.4026545,179.620702,0,0,0,0.0,
대구광역시,서구,비산7동,91,101,192,0,0,0,,0.0,이중취약,1,0,1,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,2,186,130,186,130,0.96875,0.698924731,477,220,189.4026545,179.620702,0,0,186,0.96875,0.698924731
대구광역시,서구,평리1동,19,52,71,0,0,0,,0.0,양호,4,0,4,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,1,120,119,120,119,1.690140845,0.991666667,1053,620,408.5358519,438.3724362,5,188,308,4.338028169014085,0.991666667
대구광역시,서구,평리2동,37,90,127,0,0,0,,0.0,양호,2,0,2,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,2,65,54,65,54,0.511811024,0.830769231,1053,620,408.5358519,438.3724362,5,188,253,1.9921259842519685,0.830769231
대구광역시,서구,평리3동,234,264,498,2,148,120,0.810810811,0.297188755,물리적부족,4,0,2,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,4,271,200,419,320,0.841365462,0.76372315,1053,620,408.5358519,438.3724362,5,188,607,1.2188755020080322,0.76372315
대구광역시,서구,평리4동,94,174,268,0,0,0,,0.0,이중취약,5,0,3,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,6,258,159,258,159,0.962686567,0.61627907,1053,620,408.5358519,438.3724362,5,188,446,1.664179104477612,0.61627907
대구광역시,서구,평리5동,589,599,1188,1,60,26,0.433333333,0.050505051,물리적부족,1,0,1,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,5,228,215,288,241,0.242424242,0.836805556,1053,620,408.5358519,438.3724362,5,188,476,0.4006734006734007,0.836805556
대구광역시,서구,평리6동,178,123,301,1,18,7,0.388888889,0.059800664,이중취약,1,0,1,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,3,147,104,165,111,0.548172757,0.672727273,1053,620,408.5358519,438.3724362,5,188,353,1.1727574750830565,0.672727273
대구광역시,서구,상중이동,104,155,259,2,36,11,0.305555556,0.138996139,양호,6,0,6,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,9,645,555,681,566,2.629343629,0.83113069,370,182,289.7440794,277.0916947,0,0,681,2.629343629343629,0.83113069
대구광역시,서구,원대동,166,171,337,1,60,37,0.616666667,0.178041543,물리적부족,1,0,1,81.1,77.3,54.6,52.0,4.7,365,0.474,563,0.675,700,0.77,2020,2454,2944.0,3382,3567,3742,3,227,195,287,232,0.851632047,0.808362369,209,158,505.0651903,559.1039593,0,0,287,0.8516320474777448,0.808362369
대구광역시,남구,이천동,305,372,677,1,180,180,1.0,0.265878877,물리적부족,7,0,7,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,4,179,142,359,322,0.53028065,0.896935933,559,316,389.6860121,410.5390522,2,48,407,0.6011816838995568,0.896935933
대구광역시,남구,봉덕1동,44,60,104,0,0,0,,0.0,물리적부족,1,0,1,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,2,87,81,87,81,0.836538462,0.931034483,943,487,413.9070748,405.9459532,4,96,183,1.7596153846153846,0.931034483
대구광역시,남구,봉덕2동,265,362,627,1,168,163,0.970238095,0.267942584,물리적부족,1,0,1,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,4,226,142,394,305,0.628389155,0.774111675,943,487,413.9070748,405.9459532,4,96,490,0.7814992025518341,0.774111675
대구광역시,남구,봉덕3동,95,159,254,3,322,316,0.98136646,1.267716535,양호,6,0,5,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,2,125,115,447,431,1.75984252,0.964205817,943,487,413.9070748,405.9459532,4,96,543,2.1377952755905514,0.964205817
대구광역시,남구,대명1동,45,76,121,1,140,20,0.142857143,1.157024793,질적미스매치,0,0,0,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,3,251,64,391,84,3.231404959,0.21483376,1031,598,404.9631089,423.4362802,3,156,547,4.520661157024794,0.21483376
대구광역시,남구,대명2동,327,289,616,1,196,194,0.989795918,0.318181818,물리적부족,4,0,3,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,2,70,60,266,254,0.431818182,0.954887218,1031,598,404.9631089,423.4362802,3,156,422,0.685064935064935,0.954887218
대구광역시,남구,대명3동,140,114,254,1,240,190,0.791666667,0.94488189,질적미스매치,2,0,0,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,2,108,45,348,235,1.37007874,0.675287356,1031,598,404.9631089,423.4362802,3,156,504,1.984251968503937,0.675287356
대구광역시,남구,대명4동,38,71,109,0,0,0,,0.0,질적미스매치,2,0,2,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,4,324,159,324,159,2.972477064,0.490740741,1031,598,404.9631089,423.4362802,3,156,480,4.4036697247706424,0.490740741
대구광역시,남구,대명5동,215,194,409,0,0,0,,0.0,물리적부족,6,0,4,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,3,212,155,212,155,0.518337408,0.731132075,1031,598,404.9631089,423.4362802,3,156,368,0.8997555012224939,0.731132075
대구광역시,남구,대명6동,130,171,301,0,0,0,,0.0,이중취약,1,0,1,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,3,178,105,178,105,0.591362126,0.58988764,1031,598,404.9631089,423.4362802,3,156,334,1.1096345514950166,0.58988764
대구광역시,남구,대명9동,81,115,196,2,328,310,0.945121951,1.673469388,양호,3,0,1,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,1,50,46,378,356,1.928571429,0.941798942,1031,598,404.9631089,423.4362802,3,156,534,2.7244897959183674,0.941798942
대구광역시,남구,대명10동,32,48,80,0,0,0,,0.0,질적미스매치,1,0,1,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,1,98,17,98,17,1.225,0.173469388,1031,598,404.9631089,423.4362802,3,156,254,3.175,0.173469388
대구광역시,남구,대명11동,37,47,84,0,0,0,,0.0,질적미스매치,1,0,0,71.3,68.8,55.6,53.7,3.4,453,0.563,407,0.517,500,0.65,2080,1826,3122.0,2987,2801,2827,2,123,36,123,36,1.464285714,0.292682927,1031,598,404.9631089,423.4362802,3,156,279,3.3214285714285716,0.292682927
